TagID 0 	 TagName ColorCorrectionMode 			 Size 1 	 Type 0 	 TagType 0 
TagID 1 	 TagName ColorCorrectionTransform 			 Size 72 	 Type 5 	 TagType 0 
TagID 2 	 TagName ColorCorrectionGains 			 Size 16 	 Type 2 	 TagType 0 
TagID 3 	 TagName ColorCorrectionAberrationMode 			 Size 1 	 Type 0 	 TagType 0 
TagID 4 	 TagName ColorCorrectionAvailableAberrationModes 			 Size 3 	 Type 0 	 TagType 0 
TagID 10000 	 TagName ControlAEAntibandingMode 			 Size 1 	 Type 0 	 TagType 0 
TagID 10001 	 TagName ControlAEExposureCompensation 			 Size 4 	 Type 1 	 TagType 0 
TagID 10002 	 TagName ControlAELock 			 Size 1 	 Type 0 	 TagType 0 
TagID 10003 	 TagName ControlAEMode 			 Size 1 	 Type 0 	 TagType 0 
TagID 10004 	 TagName ControlAERegions 			 Size 200 	 Type 1 	 TagType 0 
TagID 10005 	 TagName ControlAETargetFpsRange 			 Size 8 	 Type 1 	 TagType 0 
TagID 10006 	 TagName ControlAEPrecaptureTrigger 			 Size 1 	 Type 0 	 TagType 0 
TagID 10007 	 TagName ControlAFMode 			 Size 1 	 Type 0 	 TagType 0 
TagID 10008 	 TagName ControlAFRegions 			 Size 200 	 Type 1 	 TagType 0 
TagID 10009 	 TagName ControlAFTrigger 			 Size 1 	 Type 0 	 TagType 0 
TagID 1000a 	 TagName ControlAWBLock 			 Size 1 	 Type 0 	 TagType 0 
TagID 1000b 	 TagName ControlAWBMode 			 Size 1 	 Type 0 	 TagType 0 
TagID 1000c 	 TagName ControlAWBRegions 			 Size 200 	 Type 1 	 TagType 0 
TagID 1000d 	 TagName ControlCaptureIntent 			 Size 1 	 Type 0 	 TagType 0 
TagID 1000e 	 TagName ControlEffectMode 			 Size 1 	 Type 0 	 TagType 0 
TagID 1000f 	 TagName ControlMode 			 Size 1 	 Type 0 	 TagType 0 
TagID 10010 	 TagName ControlSceneMode 			 Size 1 	 Type 0 	 TagType 0 
TagID 10011 	 TagName ControlVideoStabilizationMode 			 Size 1 	 Type 0 	 TagType 0 
TagID 10012 	 TagName ControlAEAvailableAntibandingModes 			 Size 6 	 Type 0 	 TagType 0 
TagID 10013 	 TagName ControlAEAvailableModes 			 Size 6 	 Type 0 	 TagType 0 
TagID 10014 	 TagName ControlAEAvailableTargetFPSRanges 			 Size 256 	 Type 1 	 TagType 0 
TagID 10015 	 TagName ControlAECompensationRange 			 Size 8 	 Type 1 	 TagType 0 
TagID 10016 	 TagName ControlAECompensationStep 			 Size 8 	 Type 5 	 TagType 0 
TagID 10017 	 TagName ControlAFAvailableModes 			 Size 6 	 Type 0 	 TagType 0 
TagID 10018 	 TagName ControlAvailableEffects 			 Size 9 	 Type 0 	 TagType 0 
TagID 10019 	 TagName ControlAvailableSceneModes 			 Size 104 	 Type 0 	 TagType 0 
TagID 1001a 	 TagName ControlAvailableVideoStabilizationModes 			 Size 2 	 Type 0 	 TagType 0 
TagID 1001b 	 TagName ControlAWBAvailableModes 			 Size 9 	 Type 0 	 TagType 0 
TagID 1001c 	 TagName ControlMaxRegions 			 Size 12 	 Type 1 	 TagType 0 
TagID 1001d 	 TagName ControlSceneModeOverrides 			 Size 312 	 Type 0 	 TagType 0 
TagID 1001e 	 TagName ControlAEPrecaptureId 			 Size 4 	 Type 1 	 TagType 0 
TagID 1001f 	 TagName ControlAEState 			 Size 1 	 Type 0 	 TagType 0 
TagID 10020 	 TagName ControlAFState 			 Size 1 	 Type 0 	 TagType 0 
TagID 10021 	 TagName ControlAFTriggerId 			 Size 4 	 Type 1 	 TagType 0 
TagID 10022 	 TagName ControlAWBState 			 Size 1 	 Type 0 	 TagType 0 
TagID 10023 	 TagName ControlAvailableHighSpeedVideoConfigurations 			 Size 320 	 Type 1 	 TagType 0 
TagID 10024 	 TagName ControlAELockAvailable 			 Size 2 	 Type 0 	 TagType 0 
TagID 10025 	 TagName ControlAWBLockAvailable 			 Size 2 	 Type 0 	 TagType 0 
TagID 10026 	 TagName ControlAvailableModes 			 Size 4 	 Type 0 	 TagType 0 
TagID 10027 	 TagName ControlPostRawSensitivityBoostRange 			 Size 8 	 Type 1 	 TagType 0 
TagID 10028 	 TagName ControlPostRawSensitivityBoost 			 Size 4 	 Type 1 	 TagType 0 
TagID 10029 	 TagName ControlZslEnable 			 Size 1 	 Type 0 	 TagType 0 
TagID 1002a 	 TagName ControlAFSceneChange 			 Size 1 	 Type 0 	 TagType 0 
TagID 1002b 	 TagName ControlAvailableBokehMaxSizes 			 Size 36 	 Type 1 	 TagType 0 
TagID 1002c 	 TagName ControlAvailableBokehZoomRatioRanges 			 Size 16 	 Type 2 	 TagType 0 
TagID 1002d 	 TagName ControlBokehMode 			 Size 1 	 Type 0 	 TagType 0 
TagID 1002e 	 TagName ControlZoomRatioRange 			 Size 8 	 Type 2 	 TagType 0 
TagID 1002f 	 TagName ControlZoomRatio 			 Size 4 	 Type 2 	 TagType 0 
TagID 10030 	 TagName ControlAvailableHighSpeedVideoConfigurationsMaximumResolution 			 Size 20 	 Type 1 	 TagType 0 
TagID 20000 	 TagName DemosaicMode 			 Size 1 	 Type 0 	 TagType 0 
TagID 30000 	 TagName EdgeMode 			 Size 1 	 Type 0 	 TagType 0 
TagID 30001 	 TagName EdgeStrength 			 Size 1 	 Type 0 	 TagType 0 
TagID 30002 	 TagName EdgeAvailableEdgeModes 			 Size 4 	 Type 0 	 TagType 0 
TagID 40000 	 TagName FlashFiringPower 			 Size 1 	 Type 0 	 TagType 0 
TagID 40001 	 TagName FlashFiringTime 			 Size 8 	 Type 3 	 TagType 0 
TagID 40002 	 TagName FlashMode 			 Size 1 	 Type 0 	 TagType 0 
TagID 40003 	 TagName FlashColorTemperature 			 Size 1 	 Type 0 	 TagType 0 
TagID 40004 	 TagName FlashMaxEnergy 			 Size 1 	 Type 0 	 TagType 0 
TagID 40005 	 TagName FlashState 			 Size 1 	 Type 0 	 TagType 0 
TagID 50000 	 TagName FlashInfoAvailable 			 Size 1 	 Type 0 	 TagType 0 
TagID 50001 	 TagName FlashInfoChargeDuration 			 Size 8 	 Type 3 	 TagType 0 
TagID 60000 	 TagName HotPixelMode 			 Size 1 	 Type 0 	 TagType 0 
